Retailer,Retailer ID,Invoice Date,Year,Month,Day,Region,State,City,Sales Method,Gender,Product,Price per Unit,Units Sold,Total Sales,Operating Margin,Operating Profit
Foot Locker,1185732,2020-02-07,2020,2,7,Northeast,New York,New York,Outlet,Men, Athletic Footwear,55.0,925,508750,30,152625
Foot Locker,1185732,2020-02-08,2020,2,8,Northeast,New York,New York,Outlet,Women, Street Footwear,50.0,900,450000,35,157500
Foot Locker,1185732,2020-02-09,2020,2,9,Northeast,New York,New York,Outlet,Women, Athletic Footwear,50.0,850,425000,35,148750
Foot Locker,1185732,2020-02-10,2020,2,10,Northeast,New York,New York,Outlet,Men, Apparel,60.0,875,525000,30,157500
Foot Locker,1185732,2020-03-03,2020,3,3,Northeast,New York,New York,Outlet,Women, Apparel,65.0,1000,650000,25,162500
Foot Locker,1185732,2020-03-04,2020,3,4,Northeast,New York,New York,Outlet,Men, Street Footwear,60.0,1250,750000,50,375000
Foot Locker,1185732,2020-03-05,2020,3,5,Northeast,New York,New York,Outlet,Men, Athletic Footwear,55.0,1000,550000,30,165000
Foot Locker,1185732,2020-03-06,2020,3,6,Northeast,New York,New York,Outlet,Women, Street Footwear,50.0,925,462500,35,161875
Foot Locker,1185732,2020-03-07,2020,3,7,Northeast,New York,New York,Outlet,Women, Athletic Footwear,50.0,900,450000,35,157500
Foot Locker,1185732,2020-03-08,2020,3,8,Northeast,New York,New York,Outlet,Men, Apparel,60.0,900,540000,30,162000
Foot Locker,1185732,2020-03-09,2020,3,9,Northeast,New York,New York,Outlet,Women, Apparel,65.0,1050,682500,25,170625
Foot Locker,1185732,2020-03-10,2020,3,10,Northeast,New York,New York,Outlet,Men, Street Footwear,60.0,1275,765000,50,382500
Foot Locker,1185732,2020-03-11,2020,3,11,Northeast,New York,New York,Outlet,Men, Athletic Footwear,55.0,1025,563750,30,169125
Foot Locker,1185732,2020-03-12,2020,3,12,Northeast,New York,New York,Outlet,Women, Street Footwear,50.0,950,475000,35,166250
Foot Locker,1185732,2020-03-13,2020,3,13,Northeast,New York,New York,Outlet,Women, Athletic Footwear,50.0,900,450000,35,157500
Foot Locker,1185732,2020-03-14,2020,3,14,Northeast,New York,New York,Outlet,Men, Apparel,60.0,925,555000,30,166500
Foot Locker,1185732,2020-03-15,2020,3,15,Northeast,New York,New York,Outlet,Women, Apparel,65.0,1100,715000,25,178750
Foot Locker,1185732,2020-03-16,2020,3,16,Northeast,New York,New York,Outlet,Men, Street Footwear,60.0,1250,750000,50,375000
Foot Locker,1185732,2020-03-17,2020,3,17,Northeast,New York,New York,Outlet,Men, Athletic Footwear,55.0,1025,563750,30,169125
Foot Locker,1185732,2020-03-18,2020,3,18,Northeast,New York,New York,Outlet,Women, Street Footwear,50.0,950,475000,35,166250
Foot Locker,1185732,2020-03-31,2020,3,31,Northeast,New York,New York,Outlet,Women, Athletic Footwear,50.0,925,462500,35,161875
Walmart,1185732,2020-04-17,2020,4,17,Northeast,New York,New York,Outlet,Men, Apparel,60.0,900,540000,30,162000
Walmart,1185732,2020-04-18,2020,4,18,Northeast,New York,New York,Outlet,Women, Apparel,65.0,1075,698750,25,174688
Walmart,1185732,2020-04-19,2020,4,19,Northeast,New York,New York,Outlet,Men, Street Footwear,60.0,1200,720000,50,360000
Walmart,1185732,2020-04-20,2020,4,20,Northeast,New York,New York,Outlet,Men, Athletic Footwear,55.0,1000,550000,30,165000
Walmart,1185732,2020-04-21,2020,4,21,Northeast,New York,New York,Outlet,Women, Street Footwear,50.0,925,462500,35,161875
Walmart,1185732,2020-04-22,2020,4,22,Northeast,New York,New York,Outlet,Women, Athletic Footwear,50.0,900,450000,35,157500
Walmart,1185732,2020-04-23,2020,4,23,Northeast,New York,New York,Outlet,Men, Apparel,60.0,900,540000,30,162000
Walmart,1185732,2020-04-24,2020,4,24,Northeast,New York,New York,Outlet,Women, Apparel,65.0,1000,650000,25,162500
Walmart,1185732,2020-04-25,2020,4,25,Northeast,New York,New York,Outlet,Men, Apparel,65.0,875,568750,30,170625
Walmart,1185732,2020-04-26,2020,4,26,Northeast,New York,New York,Outlet,Women, Apparel,70.0,1000,700000,25,175000
Walmart,1185732,2020-04-27,2020,4,27,Northeast,New York,New York,Outlet,Men, Street Footwear,65.0,1150,747500,50,373750
Walmart,1185732,2020-04-28,2020,4,28,Northeast,New York,New York,Outlet,Men, Athletic Footwear,55.0,975,536250,30,160875
Walmart,1185732,2020-04-29,2020,4,29,Northeast,New York,New York,Outlet,Women, Street Footwear,55.0,920,506000,35,177100
Walmart,1185732,2020-04-30,2020,4,30,Northeast,New York,New York,Outlet,Women, Athletic Footwear,55.0,900,495000,35,173250
Walmart,1185732,2020-05-01,2020,5,1,Northeast,New York,New York,Outlet,Men, Apparel,65.0,875,568750,30,170625
Walmart,1185732,2020-05-02,2020,5,2,Northeast,New York,New York,Outlet,Women, Apparel,70.0,975,682500,25,170625
Walmart,1185732,2020-05-03,2020,5,3,Northeast,New York,New York,Outlet,Men, Street Footwear,65.0,1200,780000,50,390000
Walmart,1185732,2020-05-04,2020,5,4,Northeast,New York,New York,Outlet,Men, Athletic Footwear,55.0,1000,550000,30,165000
Walmart,1185732,2020-05-05,2020,5,5,Northeast,New York,New York,Outlet,Women, Street Footwear,55.0,950,522500,35,182875
Walmart,1185732,2020-05-06,2020,5,6,Northeast,New York,New York,Outlet,Women, Athletic Footwear,55.0,900,495000,35,173250
Walmart,1185732,2020-05-07,2020,5,7,Northeast,New York,New York,Outlet,Men, Apparel,65.0,900,585000,30,175500
Walmart,1185732,2020-07-18,2020,7,18,Northeast,New York,New York,Outlet,Women, Apparel,70.0,1000,700000,25,175000
Sports Direct,1197831,2020-07-19,2020,7,19,Northeast,New York,New York,Outlet,Men, Street Footwear,25.0,900,225000,35,78750
Sports Direct,1197831,2020-07-20,2020,7,20,Northeast,New York,New York,Outlet,Men, Athletic Footwear,35.0,900,315000,35,110250
Sports Direct,1197831,2020-07-21,2020,7,21,Northeast,New York,New York,Outlet,Women, Street Footwear,35.0,700,245000,35,85750
Sports Direct,1197831,2020-07-22,2020,7,22,Northeast,New York,New York,Outlet,Women, Athletic Footwear,35.0,700,245000,45,110250
Sports Direct,1197831,2020-07-23,2020,7,23,South,Texas,Houston,Outlet,Men, Apparel,40.0,550,220000,30,66000
Sports Direct,1197831,2020-07-24,2020,7,24,South,Texas,Houston,Outlet,Women, Apparel,35.0,700,245000,50,122500
Sports Direct,1197831,2020-07-25,2020,7,25,South,Texas,Houston,Outlet,Men, Street Footwear,25.0,850,212500,35,74375
Sports Direct,1197831,2020-07-26,2020,7,26,South,Texas,Houston,Outlet,Men, Athletic Footwear,35.0,850,297500,35,104125
Sports Direct,1197831,2020-07-27,2020,7,27,South,Texas,Houston,Outlet,Women, Street Footwear,35.0,675,236250,35,82688
Sports Direct,1197831,2020-07-28,2020,7,28,South,Texas,Houston,Outlet,Women, Athletic Footwear,35.0,625,218750,45,98438
Sports Direct,1197831,2020-07-29,2020,7,29,South,Texas,Houston,Outlet,Men, Apparel,40.0,500,200000,30,60000
Sports Direct,1197831,2020-07-30,2020,7,30,South,Texas,Houston,Outlet,Women, Apparel,35.0,700,245000,50,122500
Sports Direct,1197831,2020-07-31,2020,7,31,South,Texas,Houston,Outlet,Men, Street Footwear,30.0,875,262500,35,91875
Sports Direct,1197831,2020-08-01,2020,8,1,South,Texas,Houston,Outlet,Men, Athletic Footwear,40.0,875,350000,35,122500
Sports Direct,1197831,2020-08-02,2020,8,2,South,Texas,Houston,Outlet,Women, Street Footwear,35.0,700,245000,35,85750
Sports Direct,1197831,2020-08-03,2020,8,3,South,Texas,Houston,Outlet,Women, Athletic Footwear,40.0,600,240000,45,108000
Sports Direct,1197831,2020-08-04,2020,8,4,South,Texas,Houston,Outlet,Men, Apparel,45.0,500,225000,30,67500
Sports Direct,1197831,2020-08-05,2020,8,5,South,Texas,Houston,Outlet,Women, Apparel,40.0,650,260000,50,130000
Sports Direct,1197831,2020-08-06,2020,8,6,South,Texas,Houston,Outlet,Men, Street Footwear,30.0,900,270000,35,94500
Sports Direct,1197831,2020-08-07,2020,8,7,South,Texas,Houston,Outlet,Men, Athletic Footwear,40.0,900,360000,35,126000
Sports Direct,1197831,2020-08-08,2020,8,8,South,Texas,Houston,Outlet,Women, Street Footwear,35.0,725,253750,35,88813
Sports Direct,1197831,2020-08-09,2020,8,9,South,Texas,Houston,Outlet,Women, Athletic Footwear,40.0,625,250000,45,112500
Walmart,1197831,2020-08-10,2020,8,10,South,Texas,Houston,Outlet,Men, Apparel,45.0,525,236250,30,70875
Walmart,1197831,2020-08-11,2020,8,11,South,Texas,Houston,Outlet,Women, Apparel,40.0,800,320000,50,160000
Walmart,1197831,2020-08-12,2020,8,12,South,Texas,Houston,Outlet,Men, Street Footwear,30.0,925,277500,35,97125
Walmart,1197831,2020-08-13,2020,8,13,South,Texas,Houston,Outlet,Men, Athletic Footwear,40.0,925,370000,35,129500
Walmart,1197831,2020-08-14,2020,8,14,South,Texas,Houston,Outlet,Women, Street Footwear,35.0,775,271250,35,94938
Walmart,1197831,2020-08-15,2020,8,15,South,Texas,Houston,Outlet,Women, Athletic Footwear,40.0,700,280000,45,126000
Walmart,1197831,2020-08-16,2020,8,16,South,Texas,Houston,Outlet,Men, Apparel,45.0,600,270000,30,81000
Walmart,1197831,2020-08-17,2020,8,17,South,Texas,Houston,Outlet,Women, Apparel,40.0,950,380000,50,190000
Walmart,1197831,2020-08-18,2020,8,18,South,Texas,Houston,Outlet,Men, Street Footwear,40.0,950,380000,35,133000
Walmart,1197831,2020-08-19,2020,8,19,South,Texas,Houston,Outlet,Men, Athletic Footwear,45.0,950,427500,35,149625
Walmart,1197831,2020-08-20,2020,8,20,South,Texas,Houston,Outlet,Women, Street Footwear,40.0,800,320000,35,112000
Walmart,1197831,2020-08-21,2020,8,21,South,Texas,Houston,Outlet,Women, Athletic Footwear,40.0,750,300000,45,135000
Walmart,1197831,2020-08-22,2020,8,22,South,Texas,Houston,Outlet,Men, Apparel,45.0,650,292500,30,87750
Walmart,1197831,2020-08-23,2020,8,23,South,Texas,Houston,Outlet,Women, Apparel,50.0,1000,500000,50,250000
Walmart,1197831,2020-08-24,2020,8,24,South,Texas,Houston,Outlet,Men, Street Footwear,40.0,950,380000,35,133000
Walmart,1197831,2020-08-25,2020,8,25,South,Texas,Houston,Outlet,Men, Athletic Footwear,45.0,950,427500,35,149625
Walmart,1197831,2020-08-26,2020,8,26,South,Texas,Houston,Outlet,Women, Street Footwear,40.0,1100,440000,35,154000
Walmart,1197831,2020-08-27,2020,8,27,South,Texas,Houston,Outlet,Women, Athletic Footwear,40.0,700,280000,45,126000
Walmart,1197831,2020-08-28,2020,8,28,South,Texas,Houston,Outlet,Men, Apparel,45.0,700,315000,30,94500
Walmart,1197831,2020-08-29,2020,8,29,South,Texas,Houston,Outlet,Women, Apparel,50.0,975,487500,50,243750
Walmart,1197831,2020-08-30,2020,8,30,South,Texas,Houston,Outlet,Men, Street Footwear,40.0,925,370000,35,129500
Walmart,1197831,2020-08-31,2020,8,31,South,Texas,Houston,Outlet,Men, Athletic Footwear,45.0,925,416250,35,145688
Walmart,1197831,2020-09-01,2020,9,1,South,Texas,Houston,Outlet,Women, Street Footwear,40.0,1100,440000,35,154000
Walmart,1197831,2020-09-02,2020,9,2,South,Texas,Houston,Outlet,Women, Athletic Footwear,40.0,650,260000,45,117000
Walmart,1197831,2020-09-03,2020,9,3,South,Texas,Houston,Outlet,Men, Apparel,45.0,650,292500,30,87750
Walmart,1197831,2020-09-04,2020,9,4,South,Texas,Houston,Outlet,Women, Apparel,50.0,900,450000,50,225000
Walmart,1197831,2020-09-05,2020,9,5,South,Texas,Houston,Outlet,Men, Street Footwear,45.0,850,382500,35,133875
Walmart,1197831,2020-09-06,2020,9,6,South,Texas,Houston,Outlet,Men, Athletic Footwear,45.0,850,382500,35,133875
Walmart,1197831,2020-09-07,2020,9,7,South,Texas,Houston,Outlet,Women, Street Footwear,50.0,900,450000,35,157500
Walmart,1197831,2020-09-08,2020,9,8,South,Texas,Houston,Outlet,Women, Athletic Footwear,50.0,625,312500,45,140625
Walmart,1197831,2020-09-09,2020,9,9,South,Texas,Houston,Outlet,Men, Apparel,45.0,625,281250,30,84375
Walmart,1197831,2020-09-10,2020,9,10,South,Texas,Houston,Outlet,Women, Apparel,55.0,850,467500,50,233750
Walmart,1197831,2020-09-11,2020,9,11,South,Texas,Houston,Outlet,Men, Street Footwear,45.0,800,360000,35,126000
Walmart,1197831,2020-09-12,2020,9,12,South,Texas,Houston,Outlet,Men, Athletic Footwear,45.0,800,360000,35,126000
Walmart,1197831,2020-09-13,2020,9,13,South,Texas,Houston,Outlet,Women, Street Footwear,50.0,750,375000,35,131250
Walmart,1197831,2020-09-14,2020,9,14,South,Texas,Houston,Outlet,Women, Athletic Footwear,50.0,600,300000,45,135000
Walmart,1197831,2020-09-15,2020,9,15,South,Texas,Houston,Outlet,Men, Apparel,45.0,575,258750,30,77625
Walmart,1197831,2020-09-16,2020,9,16,South,Texas,Houston,Outlet,Women, Apparel,55.0,750,412500,50,206250
Walmart,1197831,2020-10-20,2020,10,20,South,Texas,Houston,Outlet,Men, Street Footwear,45.0,900,405000,35,141750
Walmart,1197831,2020-10-21,2020,10,21,South,Texas,Houston,Outlet,Men, Athletic Footwear,45.0,900,405000,35,141750
Walmart,1197831,2020-10-22,2020,10,22,South,Texas,Houston,Outlet,Women, Street Footwear,50.0,825,412500,35,144375
Walmart,1197831,2020-10-23,2020,10,23,South,Texas,Houston,Outlet,Women, Athletic Footwear,50.0,675,337500,45,151875
Walmart,1197831,2020-10-24,2020,10,24,South,Texas,Houston,Outlet,Men, Apparel,45.0,650,292500,30,87750
Walmart,1197831,2020-10-25,2020,10,25,South,Texas,Houston,Outlet,Women, Apparel,55.0,850,467500,50,233750
Walmart,1197831,2020-10-26,2020,10,26,South,Texas,Houston,Outlet,Men, Street Footwear,45.0,950,427500,35,149625
Walmart,1197831,2020-10-27,2020,10,27,South,Texas,Houston,Outlet,Men, Athletic Footwear,45.0,950,427500,35,149625
Walmart,1197831,2020-10-28,2020,10,28,South,Texas,Houston,Outlet,Women, Street Footwear,50.0,850,425000,35,148750
Walmart,1197831,2020-10-29,2020,10,29,South,Texas,Houston,Outlet,Women, Athletic Footwear,50.0,700,350000,45,157500
Walmart,1197831,2020-10-30,2020,10,30,South,Texas,Houston,Outlet,Men, Apparel,45.0,650,292500,30,87750
Walmart,1197831,2020-10-31,2020,10,31,South,Texas,Houston,Outlet,Women, Apparel,55.0,900,495000,50,247500
West Gear,1128299,2020-11-01,2020,11,1,South,Texas,Houston,Outlet,Men, Street Footwear,40.0,775,310000,35,108500
West Gear,1128299,2020-11-02,2020,11,2,South,Texas,Houston,Outlet,Men, Athletic Footwear,50.0,775,387500,20,77500
West Gear,1128299,2020-11-03,2020,11,3,South,Texas,Houston,Outlet,Women, Street Footwear,50.0,775,387500,35,135625
West Gear,1128299,2020-11-04,2020,11,4,South,Texas,Houston,Outlet,Women, Athletic Footwear,50.0,625,312500,30,93750
West Gear,1128299,2020-11-05,2020,11,5,West,California,San Francisco,Outlet,Men, Apparel,55.0,575,316250,50,158125
West Gear,1128299,2020-11-06,2020,11,6,West,California,San Francisco,Outlet,Women, Apparel,50.0,775,387500,15,58125
West Gear,1128299,2020-11-07,2020,11,7,West,California,San Francisco,Outlet,Men, Street Footwear,40.0,825,330000,35,115500
West Gear,1128299,2020-11-08,2020,11,8,West,California,San Francisco,Outlet,Men, Athletic Footwear,50.0,725,362500,20,72500
West Gear,1128299,2020-11-09,2020,11,9,West,California,San Francisco,Outlet,Women, Street Footwear,50.0,725,362500,35,126875
West Gear,1128299,2020-11-10,2020,11,10,West,California,San Francisco,Outlet,Women, Athletic Footwear,50.0,575,287500,30,86250
West Gear,1128299,2020-11-11,2020,11,11,West,California,San Francisco,Outlet,Men, Apparel,55.0,500,275000,50,137500
West Gear,1128299,2020-11-12,2020,11,12,West,California,San Francisco,Outlet,Women, Apparel,50.0,700,350000,15,52500
West Gear,1128299,2020-11-13,2020,11,13,West,California,San Francisco,Outlet,Men, Street Footwear,50.0,850,425000,35,148750
West Gear,1128299,2020-11-14,2020,11,14,West,California,San Francisco,Outlet,Men, Athletic Footwear,60.0,700,420000,20,84000
West Gear,1128299,2020-11-15,2020,11,15,West,California,San Francisco,Outlet,Women, Street Footwear,60.0,700,420000,35,147000
West Gear,1128299,2020-12-22,2020,12,22,West,California,San Francisco,Outlet,Women, Athletic Footwear,60.0,600,360000,30,108000
West Gear,1128299,2020-12-23,2020,12,23,West,California,San Francisco,Outlet,Men, Apparel,65.0,500,325000,50,162500
West Gear,1128299,2020-12-24,2020,12,24,West,California,San Francisco,Outlet,Women, Apparel,60.0,700,420000,15,63000
West Gear,1128299,2020-12-25,2020,12,25,West,California,San Francisco,Outlet,Men, Street Footwear,60.0,875,525000,35,183750
West Gear,1128299,2020-12-26,2020,12,26,West,California,San Francisco,Outlet,Men, Athletic Footwear,65.0,675,438750,20,87750
West Gear,1128299,2020-12-27,2020,12,27,West,California,San Francisco,Outlet,Women, Street Footwear,65.0,725,471250,35,164938
West Gear,1128299,2020-12-28,2020,12,28,West,California,San Francisco,Outlet,Women, Athletic Footwear,60.0,625,375000,30,112500
West Gear,1128299,2020-12-29,2020,12,29,West,California,San Francisco,Outlet,Men, Apparel,65.0,525,341250,50,170625
West Gear,1128299,2020-12-30,2020,12,30,West,California,San Francisco,Outlet,Women, Apparel,80.0,700,560000,15,84000
West Gear,1128299,2020-12-31,2020,12,31,West,California,San Francisco,Outlet,Men, Street Footwear,60.0,900,540000,40,216000
West Gear,1128299,2021-01-01,2021,1,1,West,California,San Francisco,Outlet,Men, Athletic Footwear,65.0,750,487500,25,121875
West Gear,1128299,2021-01-02,2021,1,2,West,California,San Francisco,Outlet,Women, Street Footwear,65.0,750,487500,40,195000
West Gear,1128299,2021-01-03,2021,1,3,West,California,San Francisco,Outlet,Women, Athletic Footwear,60.0,650,390000,35,136500
West Gear,1128299,2021-01-04,2021,1,4,West,California,San Francisco,Outlet,Men, Apparel,65.0,550,357500,55,196625
West Gear,1128299,2021-01-05,2021,1,5,West,California,San Francisco,Outlet,Women, Apparel,80.0,725,580000,20,116000
West Gear,1128299,2021-01-06,2021,1,6,West,California,San Francisco,Outlet,Men, Street Footwear,60.0,975,585000,40,234000
West Gear,1128299,2021-01-07,2021,1,7,West,California,San Francisco,Outlet,Men, Athletic Footwear,65.0,825,536250,25,134063
West Gear,1128299,2021-01-08,2021,1,8,West,California,San Francisco,Outlet,Women, Street Footwear,65.0,825,536250,40,214500
West Gear,1128299,2021-01-09,2021,1,9,West,California,San Francisco,Outlet,Women, Athletic Footwear,60.0,700,420000,35,147000
West Gear,1128299,2021-01-10,2021,1,10,West,California,San Francisco,Outlet,Men, Apparel,65.0,575,373750,55,205563
West Gear,1128299,2021-01-11,2021,1,11,West,California,San Francisco,Outlet,Women, Apparel,80.0,875,700000,20,140000
West Gear,1128299,2021-01-12,2021,1,12,West,California,San Francisco,Outlet,Men, Street Footwear,60.0,1025,615000,35,215250
West Gear,1128299,2021-01-13,2021,1,13,West,California,San Francisco,Outlet,Men, Athletic Footwear,65.0,875,568750,20,113750
West Gear,1128299,2021-01-14,2021,1,14,West,California,San Francisco,Outlet,Women, Street Footwear,65.0,825,536250,35,187688
West Gear,1128299,2021-01-15,2021,1,15,West,California,San Francisco,Outlet,Women, Athletic Footwear,60.0,725,435000,30,130500
West Gear,1128299,2021-01-16,2021,1,16,West,California,San Francisco,Outlet,Men, Apparel,65.0,775,503750,50,251875
West Gear,1128299,2021-01-17,2021,1,17,West,California,San Francisco,Outlet,Women, Apparel,80.0,775,620000,15,93000
West Gear,1128299,2021-01-18,2021,1,18,West,California,San Francisco,Outlet,Men, Street Footwear,65.0,975,633750,35,221813
West Gear,1128299,2021-01-19,2021,1,19,West,California,San Francisco,Outlet,Men, Athletic Footwear,70.0,925,647500,20,129500
West Gear,1128299,2021-01-20,2021,1,20,West,California,San Francisco,Outlet,Women, Street Footwear,65.0,800,520000,35,182000
West Gear,1128299,2021-01-21,2021,1,21,West,California,San Francisco,Outlet,Women, Athletic Footwear,65.0,750,487500,30,146250
West Gear,1128299,2021-01-22,2021,1,22,West,California,San Francisco,Outlet,Men, Apparel,75.0,750,562500,50,281250
West Gear,1128299,2021-01-23,2021,1,23,West,California,San Francisco,Outlet,Women, Apparel,80.0,725,580000,15,87000
West Gear,1128299,2021-01-24,2021,1,24,West,California,San Francisco,Outlet,Men, Street Footwear,55.0,925,508750,30,152625
West Gear,1128299,2021-01-25,2021,1,25,West,California,San Francisco,Outlet,Men, Athletic Footwear,60.0,925,555000,15,83250
West Gear,1128299,2021-01-26,2021,1,26,West,California,San Francisco,Outlet,Women, Street Footwear,55.0,775,426250,30,127875
West Gear,1128299,2021-01-27,2021,1,27,West,California,San Francisco,Outlet,Women, Athletic Footwear,55.0,725,398750,25,99688
West Gear,1128299,2021-01-28,2021,1,28,West,California,San Francisco,Outlet,Men, Apparel,65.0,725,471250,45,212063
West Gear,1128299,2021-01-29,2021,1,29,West,California,San Francisco,Outlet,Women, Apparel,70.0,775,542500,10,54250
West Gear,1128299,2021-01-30,2021,1,30,West,California,San Francisco,Outlet,Men, Street Footwear,55.0,875,481250,30,144375
West Gear,1128299,2021-01-31,2021,1,31,West,California,San Francisco,Outlet,Men, Athletic Footwear,60.0,875,525000,15,78750
West Gear,1128299,2021-02-01,2021,2,1,West,California,San Francisco,Outlet,Women, Street Footwear,55.0,700,385000,30,115500
West Gear,1128299,2021-02-02,2021,2,2,West,California,San Francisco,Outlet,Women, Athletic Footwear,55.0,675,371250,25,92813
West Gear,1128299,2021-02-03,2021,2,3,West,California,San Francisco,Outlet,Men, Apparel,65.0,650,422500,45,190125
West Gear,1128299,2021-02-04,2021,2,4,West,California,San Francisco,Outlet,Women, Apparel,70.0,700,490000,10,49000
West Gear,1128299,2021-02-05,2021,2,5,West,California,San Francisco,Outlet,Men, Street Footwear,55.0,875,481250,30,144375
West Gear,1128299,2021-02-06,2021,2,6,West,California,San Francisco,Outlet,Men, Athletic Footwear,60.0,875,525000,15,78750
West Gear,1128299,2021-02-07,2021,2,7,West,California,San Francisco,Outlet,Women, Street Footwear,55.0,725,398750,30,119625
West Gear,1128299,2021-02-08,2021,2,8,West,California,San Francisco,Outlet,Women, Athletic Footwear,55.0,700,385000,25,96250
West Gear,1128299,2021-02-09,2021,2,9,West,California,San Francisco,Outlet,Men, Apparel,65.0,650,422500,45,190125
West Gear,1128299,2021-02-10,2021,2,10,West,California,San Francisco,Outlet,Women, Apparel,70.0,775,542500,10,54250
West Gear,1128299,2021-02-11,2021,2,11,West,California,San Francisco,Outlet,Men, Street Footwear,55.0,975,536250,30,160875
West Gear,1128299,2021-02-12,2021,2,12,West,California,San Francisco,Outlet,Men, Athletic Footwear,60.0,975,585000,15,87750
West Gear,1128299,2021-02-13,2021,2,13,West,California,San Francisco,Outlet,Women, Street Footwear,55.0,775,426250,30,127875
West Gear,1128299,2021-02-14,2021,2,14,West,California,San Francisco,Outlet,Women, Athletic Footwear,55.0,775,426250,25,106563
West Gear,1128299,2021-02-15,2021,2,15,West,California,San Francisco,Outlet,Men, Apparel,65.0,700,455000,45,204750
West Gear,1128299,2021-02-16,2021,2,16,West,California,San Francisco,Outlet,Women, Apparel,70.0,800,560000,10,56000
Kohl's,1189833,2021-02-17,2021,2,17,West,California,San Francisco,Outlet,Men, Street Footwear,35.0,700,245000,40,98000
Kohl's,1189833,2021-02-18,2021,2,18,West,California,San Francisco,Outlet,Men, Athletic Footwear,45.0,700,315000,25,78750
Kohl's,1189833,2021-03-09,2021,3,9,West,California,San Francisco,Outlet,Women, Street Footwear,45.0,700,315000,40,126000
Kohl's,1189833,2021-03-10,2021,3,10,West,California,San Francisco,Outlet,Women, Athletic Footwear,45.0,550,247500,35,86625
Kohl's,1189833,2021-03-11,2021,3,11,West,California,Los Angeles,Outlet,Men, Apparel,50.0,500,250000,55,137500
Kohl's,1189833,2021-03-12,2021,3,12,West,California,Los Angeles,Outlet,Women, Apparel,45.0,700,315000,20,63000
Kohl's,1189833,2021-03-13,2021,3,13,West,California,Los Angeles,Outlet,Men, Street Footwear,35.0,750,262500,40,105000
